"lab","max.dist","min.dist","mean.dist","size","mean.cl.sil","mean.sil","method","strategy"
4,0.838800403288849,0.39893674543102,0.620657176986751,20,0.141113760514529,0.00840722951954079,"average","Hierarchical partition"
7,0.867592351860429,0.510100446970725,0.690816660408099,19,0.0404002955302834,0.00840722951954079,"average","Hierarchical partition"
20,0.897995071102754,0.510028608426112,0.723427771434404,19,-0.00849253025405294,0.00840722951954079,"average","Hierarchical partition"
33,0.924247892758263,0.573343061141505,0.718092829041751,19,0.0242445306261397,0.00840722951954079,"average","Hierarchical partition"
41,0.907195665725567,0.568178366049864,0.760979717169442,20,-0.0135206485030761,0.00840722951954079,"average","Hierarchical partition"
18,0.913988568848192,0.548825647585861,0.712633441973054,20,0.0211477049726893,0.00840722951954079,"average","Hierarchical partition"
3,0.814537925424235,0.517176458960227,0.640014478025207,20,0.113866578902606,0.00840722951954079,"average","Hierarchical partition"
8,0.836970974193318,0.503543106131958,0.679183267976153,20,0.0617519312444324,0.00840722951954079,"average","Hierarchical partition"
5,0.824685686696727,0.389477685432113,0.630800321686124,19,0.0899281163879425,0.00840722951954079,"average","Hierarchical partition"
17,0.884013260617247,0.507622935686084,0.698878176966884,19,0.0418825952819163,0.00840722951954079,"average","Hierarchical partition"
15,0.918975373938104,0.543209661699912,0.718124548833871,19,0.0248363498049813,0.00840722951954079,"average","Hierarchical partition"
36,0.903888564446698,0.580755839371637,0.742321379508016,20,-0.0156385195009422,0.00840722951954079,"average","Hierarchical partition"
9,0.901967810684097,0.551234403705369,0.706537869097296,20,0.0373467222867771,0.00840722951954079,"average","Hierarchical partition"
32,0.883376854718571,0.574015559311865,0.724893088869306,20,0.0302558558739273,0.00840722951954079,"average","Hierarchical partition"
35,0.926566614518364,0.397078226294686,0.738552187276203,19,-0.014713596408743,0.00840722951954079,"average","Hierarchical partition"
1,0.748991506855425,0.420067304472804,0.557350604772692,20,0.191606999042524,0.00840722951954079,"average","Hierarchical partition"
29,0.939193937689499,0.547095453978829,0.734195044123751,20,0.0040428125283902,0.00840722951954079,"average","Hierarchical partition"
51,1.09941363464869,0.577105965782494,0.860604883687787,20,-0.184577688234589,0.00840722951954079,"average","Hierarchical partition"
14,0.884461209542593,0.519242918603111,0.70906896515827,20,0.0228340365515651,0.00840722951954079,"average","Hierarchical partition"
45,0.979957101181255,0.511654791748833,0.765819528759447,19,-0.0374351397926828,0.00840722951954079,"average","Hierarchical partition"
34,0.928387046525047,0.440265297746055,0.719972462656069,20,-0.0434895503033579,0.00840722951954079,"average","Hierarchical partition"
27,0.871633677977111,0.524428803825048,0.725077351763132,20,0.00236725513887452,0.00840722951954079,"average","Hierarchical partition"
21,0.893710797681049,0.561883844557208,0.718379497845547,20,0.0134554322737579,0.00840722951954079,"average","Hierarchical partition"
26,0.948417895540162,0.552053161797976,0.719172966958122,20,0.0164976276172133,0.00840722951954079,"average","Hierarchical partition"
40,0.916650450214558,0.571729896479699,0.743641658546957,19,-0.0530362378856319,0.00840722951954079,"average","Hierarchical partition"
25,0.894339923440015,0.539670221523136,0.718671200738153,19,0.0130262900070693,0.00840722951954079,"average","Hierarchical partition"
39,0.961455797749058,0.576870495504097,0.747163124943906,20,-0.0253965423535502,0.00840722951954079,"average","Hierarchical partition"
28,0.910361752640584,0.575431041008064,0.730500461612711,19,0.0114350987444053,0.00840722951954079,"average","Hierarchical partition"
19,0.854884326229424,0.50156137689621,0.70837833411759,20,0.012933841465796,0.00840722951954079,"average","Hierarchical partition"
38,0.961884426222541,0.591561348406336,0.774068377665946,19,-0.0451792944931939,0.00840722951954079,"average","Hierarchical partition"
23,0.90300013190236,0.506721797686485,0.706218577600129,20,0.0482995428856076,0.00840722951954079,"average","Hierarchical partition"
30,0.904246537229021,0.549687785170541,0.726664324993293,19,0.0148306724816967,0.00840722951954079,"average","Hierarchical partition"
43,0.941217685745858,0.57022409507072,0.766749049162131,19,-0.0672720853632105,0.00840722951954079,"average","Hierarchical partition"
47,0.966777099556566,0.565133346951924,0.784623835339666,20,-0.0502342436547557,0.00840722951954079,"average","Hierarchical partition"
6,0.865222699489597,0.537189517088907,0.689343679913486,20,0.0497433409399778,0.00840722951954079,"average","Hierarchical partition"
46,1.06398755790283,0.493319899715783,0.751760959457762,20,-0.0223155613055985,0.00840722951954079,"average","Hierarchical partition"
42,0.979808115575999,0.582440672204671,0.766627429994261,20,-0.0357497939692049,0.00840722951954079,"average","Hierarchical partition"
24,0.887384331246237,0.5759658362841,0.723193065586836,20,0.0123833344372079,0.00840722951954079,"average","Hierarchical partition"
49,0.994649101077317,0.561541269200154,0.790257841977081,20,-0.0692547402677318,0.00840722951954079,"average","Hierarchical partition"
16,0.886431656450698,0.544096778462034,0.720919411536701,20,-0.0090698992174057,0.00840722951954079,"average","Hierarchical partition"
12,0.857059295355438,0.538048790787825,0.694669555122267,19,0.0223329212095549,0.00840722951954079,"average","Hierarchical partition"
31,0.891909481379625,0.519935923782825,0.718591294221865,20,0.0270463235048717,0.00840722951954079,"average","Hierarchical partition"
37,0.911860915340702,0.527914022469866,0.738922636626216,20,-0.0164265806489352,0.00840722951954079,"average","Hierarchical partition"
22,0.872518510970287,0.48951960896168,0.717621003039718,19,0.00394690428805167,0.00840722951954079,"average","Hierarchical partition"
13,0.860629793860308,0.535156678814502,0.707123557788851,20,0.025266748173131,0.00840722951954079,"average","Hierarchical partition"
2,0.733055348517226,0.420630218769536,0.594131013394891,19,0.195855537927239,0.00840722951954079,"average","Hierarchical partition"
