"","lab","max.dist","min.dist","mean.dist","size","mean.cl.sil","mean.sil","method","strategy"
"1",35,18.671903409234,10.8019840147011,14.9117793135872,20,-0.000708550907809386,0.00441300874323913,"average","Hierarchical partition"
"2",36,18.8689138797032,10.0310015541855,14.8524363360749,20,-0.00365963234739977,0.00441300874323913,"average","Hierarchical partition"
"3",26,17.6685066172002,10.3602777652551,14.3239305581176,20,0.0288738884898952,0.00441300874323913,"average","Hierarchical partition"
"4",33,18.2860289701019,9.69083331975157,14.9695809925012,20,-0.0112605349580791,0.00441300874323913,"average","Hierarchical partition"
"5",19,18.9113619623117,9.44398194279041,14.2371506554568,20,0.0204445719237796,0.00441300874323913,"average","Hierarchical partition"
"6",42,18.4075978481524,9.6801272938804,14.9912790459554,20,-0.007833742028694,0.00441300874323913,"average","Hierarchical partition"
"7",23,17.7497558414122,10.3114268981136,14.5899771460709,20,0.0307853778842806,0.00441300874323913,"average","Hierarchical partition"
"8",44,19.5438598348921,11.7809246800044,15.5068500553843,20,-0.0319102888359572,0.00441300874323913,"average","Hierarchical partition"
"9",13,17.7387705573197,9.71124983404154,14.3609659466505,20,0.025754214549072,0.00441300874323913,"average","Hierarchical partition"
"10",50,19.1245752857381,13.2425761785635,16.3736990784809,20,-0.0969822532987722,0.00441300874323913,"average","Hierarchical partition"
"11",43,19.4946706562956,11.4013659168131,15.279173525888,20,-0.0299219596748826,0.00441300874323913,"average","Hierarchical partition"
"12",2,17.5270472716433,9.4223006198744,13.5482399792525,20,0.0577706427345806,0.00441300874323913,"average","Hierarchical partition"
"13",1,16.5118787004726,9.69430023364611,13.2129229120002,20,0.0618161551166473,0.00441300874323913,"average","Hierarchical partition"
"14",14,18.0440716991042,9.91118490856877,14.4112716621344,20,0.024436343159711,0.00441300874323913,"average","Hierarchical partition"
"15",32,17.6713121088179,10.9557976970526,14.596251370977,20,0.0208097101999322,0.00441300874323913,"average","Hierarchical partition"
"16",21,17.2598662197729,11.2965433044198,14.4111227471607,20,0.0180246934567603,0.00441300874323913,"average","Hierarchical partition"
"17",18,18.0094065490446,7.13473240979121,14.3789431568106,20,0.0131034679545671,0.00441300874323913,"average","Hierarchical partition"
"18",25,17.4248778335241,10.0102672398652,13.9839583016671,19,0.063067575306005,0.00441300874323913,"average","Hierarchical partition"
"19",41,18.5536569666111,11.228239953739,15.2643143295375,20,-0.0181053601903158,0.00441300874323913,"average","Hierarchical partition"
"20",40,18.7269980450065,11.6206596333822,15.3668484576665,20,-0.0147724931449063,0.00441300874323913,"average","Hierarchical partition"
